Lunar IPS (LIPS) Version 1.01
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
035556      87    No     00009141-000091CC       8C
0355DD      13    Yes    000091CD-000091D4        8
0355F0     2A4    No     000091D5-0000947D      2A9
035894      18    Yes    0000947E-00009485        8
0358AD      27    No     00009486-000094B1       2C
0358F6      C5    No     000094B2-0000957B       CA
035BF2      19    No     0000957C-00009599       1E
035C0B      11    Yes    0000959A-000095A1        8
035C48      1F    No     000095A2-000095C5       24
035C67       B    Yes    000095C6-000095CD        8
035CC1      29    Yes    000095CE-000095D5        8
035CEA      7B    No     000095D6-00009655       80
035D65      15    Yes    00009656-0000965D        8
035D7A      47    No     0000965E-000096A9       4C
035DCC    1E5C    No     000096AA-0000B50A     1E61
037C28     3A7    Yes    0000B50B-0000B512        8
037FCF       1    No     0000B513-0000B518        6
038025       C    No     0000B519-0000B529       11
038049      12    No     0000B52A-0000B540       17
03806F      72    No     0000B541-0000B5B7       77
0380EE      B8    No     0000B5B8-0000B674       BD
0381AF       A    No     0000B675-0000B683        F
0381C1      24    No     0000B684-0000B6AC       29
038230      E3    No     0000B6AD-0000B794       E8
038313      14    Yes    0000B795-0000B79C        8
038327      BC    No     0000B79D-0000B85D       C1
0383EB      10    No     0000B85E-0000B872       15
038403      3F    No     0000B873-0000B8B6       44
0384F8     36F    No     0000B8B7-0000BC2A      374
038891     499    No     0000BC2B-0000C0C8      49E
038D7A     FC1    No     0000C0C9-0000D08E      FC6
039D4E      14    No     0000D08F-0000D0A7       19
039D74     A50    No     0000D0A8-0000DAFC      A55
03A821      A4    No     0000DAFD-0000DBA5       A9
03A91B     536    No     0000DBA6-0000E0E0      53B
03AE60     134    No     0000E0E1-0000E219      139
03AF94      1A    Yes    0000E21A-0000E221        8
03AFAE      3C    No     0000E222-0000E262       41
03AFEA      18    Yes    0000E263-0000E26A        8
03B002     3DD    No     0000E26B-0000E64C      3E2
03B418     3DF    No     0000E64D-0000EA30      3E4
03B835     8A1    No     0000EA31-0000F2D6      8A6
03C15A     DE4    No     0000F2D7-000100BF      DE9
03CF3E      1C    Yes    000100C0-000100C7        8
03CF5A      9C    No     000100C8-00010168       A1
03CFFE      89    No     00010169-000101F6       8E
03D0A7      C4    No     000101F7-000102BF       C9
03D1A4     683    No     000102C0-00010947      688
03D83E     6D2    No     00010948-0001101E      6D7
03DF87     810    No     0001101F-00011833      815
03E797      77    Yes    00011834-0001183B        8
03E8A0     252    No     0001183C-00011A92      257
03EAF2       E    Yes    00011A93-00011A9A        8
03EB00      91    No     00011A9B-00011B30       96
03EB91      75    Yes    00011B31-00011B38        8
03EC46      B7    No     00011B39-00011BF4       BC
03ECFD     102    Yes    00011BF5-00011BFC        8
03EE33     1D5    Yes    00011BFD-00011C04        8
03F033     237    Yes    00011C05-00011C0C        8
03F26A     3BC    No     00011C0D-00011FCD      3C1
03F626     9A7    Yes    00011FCE-00011FD5        8
03FFCD       3    No     00011FD6-00011FDD        8
040010       E    No     00011FDE-00011FF0       13
04001E      32    Yes    00011FF1-00011FF8        8
040050     2F8    No     00011FF9-000122F5      2FD
040350     208    No     000122F6-00012502      20D
040558      19    Yes    00012503-0001250A        8
040572       5    Yes    0001250B-00012512        8
040578      17    Yes    00012513-0001251A        8
040591      77    No     0001251B-00012596       7C
040608      29    Yes    00012597-0001259E        8
040631       7    No     0001259F-000125AA        C
040638      18    Yes    000125AB-000125B2        8
040651      87    No     000125B3-0001263E       8C
0406D8      1B    Yes    0001263F-00012646        8
0406F3      15    No     00012647-00012660       1A
040708      2B    Yes    00012661-00012668        8
040733       5    No     00012669-00012672        A
040738      19    Yes    00012673-0001267A        8
040751      39    No     0001267B-000126B8       3E
040790      58    No     000126B9-00012715       5D
0407E8      29    Yes    00012716-0001271D        8
040811      77    No     0001271E-00012799       7C
040888      2A    Yes    0001279A-000127A1        8
0408B2       6    No     000127A2-000127AC        B
0408B8      18    Yes    000127AD-000127B4        8
0408D1      87    No     000127B5-00012840       8C
040958      1B    Yes    00012841-00012848        8
040973       5    No     00012849-00012852        A
040978      18    Yes    00012853-0001285A        8
040991      97    No     0001285B-000128F6       9C
040A28      29    Yes    000128F7-000128FE        8
040A51      77    No     000128FF-0001297A       7C
040AC8      2B    Yes    0001297B-00012982        8
040AF3      13    No     00012983-0001299A       18
040B11      87    No     0001299B-00012A26       8C
040B98      1A    Yes    00012A27-00012A2E        8
040BB2       6    No     00012A2F-00012A39        B
040BB8      18    Yes    00012A3A-00012A41        8
040BD1      A7    No     00012A42-00012AED       AC
040C78      1B    Yes    00012AEE-00012AF5        8
040C93       5    No     00012AF6-00012AFF        A
040C99      37    Yes    00012B00-00012B07        8
040CD1      49    No     00012B08-00012B55       4E
040D20      18    No     00012B56-00012B72       1D
040D40      18    No     00012B73-00012B8F       1D
040D58      35    Yes    00012B90-00012B97        8
040D91      A7    No     00012B98-00012C43       AC
040E38      1B    Yes    00012C44-00012C4B        8
